ID;prey_level;clan_territory;distance
Hy_078;1;P;5479.04303868444
Hy_079;2;P;10215.800623108
Hy_080;2;P;41134.224255784
Hy_081;1;P;10121.7651124208
Hy_082;1;P;2850.11442804321
Hy_083;2;P;3516.30932066461
Hy_085;2;P;12575.379734057
Hy_086;1;P;6455.83069171481
Hy_088;2;P;16371.932469488
Hy_089;2;P;16371.932469488
