ID_road_seg,long_midpoint,lat_midpoint,length
16_2,34.954190980368374,-2.69765377559602,2500.5951826536784
16_3,34.94515643707164,-2.711631289486241,1439.3802606217007
17_1,34.98068428916554,-2.678128729621687,2498.9301925717996
17_2,35.00195063974979,-2.6844632712015377,2499.1490313951444
17_3,35.02113869107283,-2.6957787596146754,2499.245475585116
17_4,35.041509257392214,-2.6999203349905763,2499.43721984407
17_5,35.05170337701219,-2.705919530799733,168.61786023405344
18_1,35.11333658335365,-2.7695859256829145,2501.2339967870976
18_2,35.12017627447112,-2.7905290320084446,2501.2362279326203
18_3,35.123384277762916,-2.8122160173995168,2429.085751193259
19_1,35.105099396996486,-2.75395199339441,2500.033387615624
19_2,35.11592419588179,-2.7453379769361774,2263.1997442728966
20_1,35.061521639200734,-2.7165212832813483,2501.309152604439
20_2,35.05656174501599,-2.7376493198540914,2501.1739246834213
20_3,35.04873889262837,-2.7583434679766015,2500.9715757409235
20_4,35.04193690768042,-2.7796048530500985,2501.070832587165
20_5,35.02992545376127,-2.7980327581098043,2500.5423874482235
20_6,35.024444308077726,-2.8108360512058725,635.5348518525183
21_1,34.77542648646885,-2.6499442440924907,2500.2144412880134
21_2,34.77056654329772,-2.6374821137520947,638.8702524015644
22_1,34.77798072955784,-2.750150163587944,567.6484547746775
23_1,34.77107723478901,-2.7357422791216277,2500.5274717038565
23_2,34.75714952381164,-2.718411554909361,2499.6781614240813
23_3,34.737738817424315,-2.709234561361081,2499.4168236631363
23_4,34.71885076140296,-2.6974814130610527,2499.4791964140445
23_5,34.704601969055524,-2.6903524389141777,1110.0206644168757
24_1,34.79485328078715,-2.5101923056436357,2500.3307218126643
24_2,34.78248955286707,-2.5266191471868154,2501.1004034265184
24_3,34.78562143321418,-2.5456948511691704,2500.7469203513574
24_4,34.79943172608577,-2.561765549021429,2500.5803926321787
24_5,34.79150257476617,-2.582394448953302,2501.1191256679413
24_6,34.78655137646649,-2.604214024918696,2501.1265112450287
24_7,34.77680808130547,-2.6227715878857154,2500.6666193164815
24_8,34.77025087938647,-2.633450119509334,311.8263299598521
25_1,34.220791023229225,-2.1691162822061245,2501.250486745897
25_2,34.231227640086814,-2.1618994613849556,2499.789367691618
25_3,34.25350322384246,-2.1626452685195954,2499.7323878146094
25_4,34.2752305307523,-2.1600272364168225,2500.0351116731463
25_5,34.295761222893,-2.156987266308867,2499.7186990980085
25_6,34.31804942262515,-2.1583809187942102,2499.738397433062
25_7,34.33931706087143,-2.1633586322715166,2499.8899552721527
25_8,34.35857529563167,-2.1689352303483442,2500.249170961187
25_9,34.379083184085594,-2.174855177838941,2499.8345203436843
25_10,34.40088569072663,-2.1749803434807915,2499.8045070945773
25_11,34.41300808310985,-2.1722226787804226,371.3119309897828
26_1,34.74310172358919,-2.622184218763592,1016.7009102986636
27_1,34.900955925807644,-2.670574236593151,2499.3199267271684
27_2,34.88743737799646,-2.662759763242696,1472.8256497900093
28_1,34.82052575789792,-2.54717543727672,2499.4337600358845
28_2,34.830132633424476,-2.531196024465523,2501.232673092963
28_3,34.826202827508766,-2.5174008478350003,777.3159862100617
29_1,34.16223803276491,-2.1946560427574267,2501.111864689241
29_2,34.1574473515228,-2.20969286920368,2500.0020416473862
29_3,34.13687280680842,-2.2114768145073653,2500.047245508725
