ID_road_seg,road_importance,nbr_carcasses,long_midpoint,lat_midpoint,length,distances.from.center
34_15,major_road,0,34.56625292190832,-2.27601985993807,2499.8891858714687,33819.43675984472
34_16,major_road,0,34.546089431560766,-2.275083627889001,2499.715735833164,35755.6891256159
34_17,major_road,0,34.52387493813998,-2.2754602166650906,2499.5428819823524,37849.466442813595
34_18,major_road,0,34.50169306739198,-2.2789725951408144,2499.5975175320264,39818.93594228923
34_19,major_road,0,34.48008584540134,-2.285133966962816,2499.6355684679374,41659.68333843709
34_20,major_road,0,34.460397982511225,-2.2827099116794245,2500.2426332579425,43758.431971537284
34_21,major_road,0,34.445563192702735,-2.267153112211664,2500.634055452763,45987.50984504085
34_22,major_road,0,34.43223174676077,-2.2500357810700007,2500.2785920634096,48161.30329297396
34_23,major_road,0,34.410030447615725,-2.250224047670486,2499.602851295513,50366.196490225644
34_24,major_road,0,34.38784260655894,-2.252846332532981,2499.6896000026095,52481.62099815749
34_25,major_road,0,34.367587768930754,-2.2586387885337555,2500.1936716582513,54293.51624561416
34_26,major_road,0,34.34940177504407,-2.24598826656535,2499.943688723352,56704.65888678407
34_27,major_road,0,34.329370427044246,-2.235805628789153,2499.9837037245725,59199.225096998714
34_28,major_road,0,34.31000656195731,-2.2244403662039054,2500.124465374292,61678.672946409584
34_29,major_road,0,34.291037593006955,-2.2127633084103957,2500.3636059391615,64133.455624781964
35_1,minor_road,0,34.858553760962806,-2.461722514694472,2290.2187555227442,4809.820978146572
36_1,minor_road,0,34.843103274452076,-2.3049036272974077,1657.3444713939984,15946.731846246206
37_1,minor_road,0,34.88415117672546,-2.5125015656260414,854.1862540494643,10416.057834501931
40_1,minor_road,0,34.81020206912321,-2.4798253690099874,455.24096941172746,3871.92823131013
41_1,minor_road,0,34.92238345460919,-2.6870495372243908,789.8642485926994,29225.531441309868
42_1,minor_road,0,34.92943850787544,-2.7056230130918824,207.68655907590426,31434.89217332598
43_1,minor_road,0,34.90100204165319,-2.4657533096316997,2499.591573054357,9460.018110722534
43_2,minor_road,0,34.916062960244645,-2.4770602030539886,1997.1793139915671,11412.350707224434
44_1,minor_road,0,34.92836700134094,-2.5024683191200463,2500.3070247807696,13763.75069002957
