segment_ID,unclassified,bare_ground,water,clouds,sparse_grassland,open_grassland,dense_grassland,closed_grassland,sparse_shrubbed_grassland,open_shrubbed_grassland,dense_shrubbed_grassland,closed_shrubbed_grassland,open_treed_grassland,dense_treed_grassland,closed_treed_grassland,dense_shrubland,open_grassed_shrubland,dense_grassed_shrubland,closed_grassed_shrubland,open_treed_shrubland,dense_treed_shrubland,closed_treed_shrubland,dense_forest,open_grassed_woodland,dense_grassed_woodland,closed_grassed_woodland,dense_shrubbed_forest,closed_shrubbed_forest
61_1,0,0,0,0,1.23121278003592,8.16830513281031,10.7911310142736,24.0638883637393,0,0,3.60413318839209,6.3985844597788,12.0607453445506,0.472634464505152,0.2912609887513,0,0,0,0,6.14424803856696,0,0,0,24.5843770677756,0,0,2.18947915682011,0
61_2,0,0,0,0,0.674011519980229,9.22918357546256,23.1511723587879,36.6968380434566,0,0.982933466637834,6.78364511046765,0,1.9807513543419,1.5274786071552,0.0609418749315457,0,0,0,0,2.50479531112653,0,0,0,15.9777239192647,0,0,0.430524858387371,0
61_3,0,0,0,0,0.475632241151142,11.6918798385089,24.4723979419116,19.4684669813302,0,1.34296162207381,2.83756599397346,1.62498356270931,6.33654058681825,6.51224473237292,0,0,0,0,0,0.879360078787082,0,0,0,24.357966420364,0,0,0,0
61_4,0,0,0,0,0,2.50918060965946,14.4383922492215,29.655043475349,0,0,8.52261945954394,0,5.43693004877721,0.484423658626425,0,0,1.61846614057216,0,0,4.08355750019533,0,0,0,33.2513868580551,0,0,0,0
61_5,0,0,0,0,1.35928985969765,7.2461969433708,7.51303145278537,24.7597602921879,0,4.20109215985249,8.45330543834145,0,8.68881718142384,0.986076143871967,0,0,1.97451627010863,0,0,0.531896032055601,0,0,0,34.2860182263043,0,0,0,0
61_6,0,0,0,0,1.29750343415311,15.9443427439941,16.092145309102,3.49225869961949,0,5.8088664615107,0.366685753130227,0,11.3635914895057,4.55141639423796,0,0,4.78496701238552,0,0,0.507718735103391,0,0,0,35.7905039672574,0,0,0,0
61_7,0,0,0,0,0,1.20135581584932,3.38038643612077,10.9766736745756,0,1.02973355644227,2.74595615051273,0,16.7743596344445,4.47476437693968,0,0,2.0022596930822,0,0,0,0,0,0,57.4145106620345,0,0,0,0
65_1,0,0,0,0,0,2.35206467823767,22.9268942151614,23.0900628595869,0,0,4.41631799755815,0,15.921973660728,0.11926041545683,0,0,4.07921611063742,10.923800809611,0,0,12.2767408196391,2.18039766691501,0,1.71327076646771,0,0,0,0
65_2,0,0,0,0,0,2.16327288962344,7.66116396893054,55.1990926510814,0,0,2.77307125961215,0,12.1047333553331,1.15831186514,0,0,2.66935839450266,8.58210093424775,0,0,5.51591604249456,1.81247937528251,0,0.360499263749581,0,0,0,0
65_3,0,0,0,0,0,2.69710003547358,38.425084249735,27.8337287158573,0,0,3.40878857750976,0,16.3228316779001,1.73377084072366,0,0,0.552888879035119,5.37424618659098,0,0,2.68158034764101,0.387992195814118,0,0.581988293721178,0,0,0,0
65_4,0,0,0,0,0,0.995883988048235,47.0029474463668,19.856358992604,0,0,3.33619689751623,0,23.2764380732554,1.86478770576444,0,0,0,3.11810322136509,0,0,0.549283675080918,0,0,0,0,0,0,0
66_1,0,0,0,0,0,0,16.1257539270486,57.8828181958756,0,0,0.74564213596094,4.99607847469236,18.8183505291299,0,0,0,0.0115988776705035,0.753927048582728,0,0,0.359012880277489,0,0,0.306817930760224,0,0,0,0
66_2,0,0,0,0,0,0.867236946772576,7.07652667135496,51.2298105855369,0,0,15.3136924868288,1.08772091629103,15.2528792612492,2.41293044811565,0,0,0,0.132002167371831,0,0,0,0.662892980251553,0,5.96430753622853,0,0,0,0
66_3,0,0,0,0,0,0.950215287499965,13.9871467656777,11.8314884757869,0,0,15.0091709413368,1.49045192283606,50.8788238928752,0,0,0,0,1.47514382652309,0,0,1.02981738832744,0,0,3.34774149913578,0,0,0,0
66_4,0,0,0,0,0,0,10.459756926857,20.7930240302683,0,0,26.3342297693245,11.9779146529505,30.178456992061,0,0,0,0,0.256617628539686,0,0,0,0,0,0,0,0,0,0
66_5,0,0,0,0,0,0.339300306218526,7.49231626181542,32.2502113558152,0,0,26.969002089524,8.75423065069318,23.8273640041957,0,0,0,0,0,0,0,0.367575331736737,0,0,0,0,0,0,0
66_6,0,0,0,0,0,0,11.0597174271731,19.8283487930344,0,0,22.2555911429089,0,43.0004298212765,0.131442119712158,0,0,0,0.443686480041041,0,0,1.28308583946869,0,0,0,0,0,1.99769837638479,0
66_7,0,0,0,0,0,0,28.5641016873814,45.2920292456637,0,0,10.6525567161882,0,14.5211107881855,0,0,0,0,0,0,0,0.625715897628776,0,0,0,0,0,0.344485664951362,0
67_1,0,0,3.0057838694308,0,3.61076331564193,1.47366788179632,22.3842395098113,38.8649433247272,0,0,6.32735371353228,14.3325281714329,6.08220407530113,2.58085782983014,0,0,0,0.012188230601323,0,0,0,0,0,1.32547007789387,0,0,0,0
67_2,0,0,0,0,3.49503538242096,0,24.4225948955147,49.2218637049761,0,0,5.96003378986583,11.7962637271331,3.90716095885669,0,0,0,0.27696611319605,0.92008142803728,0,0,0,0,0,0,0,0,0,0
67_3,0,0,0,0,0,0,50.8158901487377,23.1904223154736,0,0,3.42925586503165,0,20.2109502720554,0.333050259054458,0,0,0,2.02043113964598,0,0,0,0,0,0,0,0,0,0
67_4,0,0,0,0,0,0,40.3904331965096,15.5356762277499,0,0,3.11217273610469,0,32.0910291150346,2.4653257346571,0,0,0.0683659432424279,5.70177502345756,0,0,0,0.137008671680169,0,0.498213351564252,0,0,0,0
67_5,0,0,0,0,0.331726303684374,0,35.3584302711303,7.29632004953777,0,0,4.86476624353134,0,25.1216329780172,1.43886284223097,0,0,1.87591224733513,9.18439559467462,0,0,7.81464239904459,2.73618912822328,0,3.97712194258924,0,0,0,0
67_6,0,0,0,0,0.367545713498116,0,20.8634261386262,5.72329933535482,0,0,6.79010076878309,0,28.018622316151,0.0245030475665411,0.456369260926828,0,2.18475297865172,11.3721706637262,0,0,18.6311985053142,3.71956262060094,0,1.84844865080095,0,0,0,0
67_7,0,0,0,0,0,0,26.2204092158551,10.2875412468716,0,0,6.64902502066004,0.0767792567064629,43.8008076474498,0.820541674725558,0.217443543802273,0,0.586101196232541,4.77232899032346,0,0,4.66360721842232,1.90541498895199,0,0,0,0,0,0
68_1,9.77760133654229,0,0,0,0,0,2.45115472517899,0,0,0,9.89614779158974,0,7.19935378397527,19.3930972880428,0,0,0,0,0,0.27568943034293,0,0,0,17.6590107711858,0,0.330827316411516,33.0171175567301,0
